Blancas,Negras,Result,ECO,Opening
Lirikalanamadin,jchh,0-1,A43,Benoni Defense: Benoni Gambit Accepted
jchh,bozidarglumac,1-0,C34,King's Gambit Accepted: MacLeod Defense
mehafuj,jchh,0-1,B21,Sicilian Defense: Smith-Morra Gambit
jchh,mehafuj,0-1,A16,English : Anglo-Grnfeld Defense
mehafuj,jchh,1-0,B12,"Caro-Kann Defense: Advance Variation, Bayonet Attack"
jchh,PERNANTIAN_TINAMBUNA,0-1,A54,Old Indian Defense: Two Knights Variation
Guenter200,jchh,0-1,B40,Sicilian Defense: Smith-Morra Gambit Deferred
jchh,Guenter200,0-1,C71,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense"
mehdigermanynew,jchh,0-1,A43,Benoni Defense: Benoni Gambit Accepted
jchh,mehdigermanynew,1-0,B50,Sicilian Defense
chessplayerBY,jchh,0-1,B21,Sicilian Defense: Smith-Morra Gambit
jchh,lalipiuan,0-1,A10,English
lalipiuan,jchh,1-0,A43,Benoni Defense: Benoni Gambit Accepted
facunet,jchh,1-0,B20,Sicilian Defense: Staunton-Cochrane Variation
jchh,sergiogelati,1-0,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
jchh,cabri007,1-0,C00,French Defense
jchh,Oscar-De-La-Rosa,1-0,D43,Semi-Slav Defense
JoseDiforce,jchh,1-0,B20,Sicilian Defense: Bowdler Attack
senkuishigami,jchh,0-1,A43,Benoni Defense: Benoni-Indian Defense
jchh,FearTheDragon,1-0,B22,Sicilian Defense: Alapin Variation
jchh,cabri007,1-0,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
cabri007,jchh,0-1,B78,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Old Line"
jchh,cabri007,1-0,A00,Saragossa
cabri007,jchh,0-1,C41,Philidor Defense: Morphy Gambit
jchh,cabri007,1-0,C00,French Defense: King's Indian Attack
cabri007,jchh,1-0,A06,Zukertort : Tennison Gambit
jchh,totti77,1-0,B10,Caro-Kann Defense
totti77,jchh,0-1,A00,Saragossa
jchh,ARDA420,1-0,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
ARDA420,jchh,0-1,E76,King's Indian Defense: Four Pawns Attack
jchh,ARDA420,1-0,C11,"French Defense: Classical Variation, Steinitz Variation"
EMREYAVUZ2934,jchh,1-0,A30,English : Symmetrical Variation
jchh,Kanchan_-17,0-1,A30,English : Symmetrical Variation
jchh,jrfrago,1-0,B13,Caro-Kann Defense: Panov Attack
Alabamasong,jchh,1-0,B12,"Caro-Kann Defense: Advance Variation, Tal Variation"
MassivesSon,jchh,1-0,A02,Bird
jchh,itsjustagame13,1-0,D00,Queen's Pawn Game
TheresaLorenzo,jchh,1-0,B10,Caro-Kann Defense
jchh,AliSoltaani,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
jchh,yunglean187,0-1,D33,Tarrasch Defense: Wagner Variation
full_beard,jchh,1-0,B20,Sicilian Defense: Bowdler Attack
GreekAngel,jchh,1-0,A43,Benoni Defense: Old Benoni
jchh,GrandGM,1-0,B06,Modern Defense
namdalseid,jchh,0-1,A02,Bird
jchh,my_heart_is_siiiuuu1,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
jchh,ChiquilloMosca,0-1,C18,"French Defense: Winawer Variation, Advance Variation"
jchh,carlsen_chile,1-0,A20,"English : King's English Variation, Nimzowitsch Variation"
V_Beltsev-1969,jchh,0-1,A43,Benoni Defense: Old Benoni
BL32,jchh,1-0,B13,Caro-Kann Defense: Exchange Variation
jchh,A-Stahlberg,0-1,E22,Nimzo-Indian Defense: Spielmann Variation
jchh,Ardenno,0-1,B12,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense"
phector486,jchh,0-1,A43,Benoni Defense: Old Benoni
JohnnyRuben,jchh,0-1,B40,Sicilian Defense: Delayed Alapin Variation
jchh,Top_Math,1-0,B01,Scandinavian Defense: Icelandic-Palme Gambit
florentmg,jchh,1-0,B40,"Sicilian Defense: French Variation, Normal"
jchh,HEBASA,1-0,A10,English : Great Snake Variation
Veronic474,jchh,1-0,B20,Sicilian Defense
Inocenciovaquero1951,jchh,0-1,B10,Caro-Kann Defense
jchh,Baby-Bolivar,0-1,C00,French Defense: King's Indian Attack
jchh,Rafaelcayon,1-0,C20,King's Pawn Game: Leonardis Variation
marvinbueno,jchh,0-1,B21,Sicilian Defense: Smith-Morra Gambit
Agent-kf,jchh,0-1,B28,"Sicilian Defense: O'Kelly Variation, Yerevan System"
jchh,marvinbueno,1/2-1/2,D00,Queen's Pawn Game
jchh,shailesh777,0-1,B15,Caro-Kann Defense: Tartakower Variation
marvinbueno,jchh,1-0,B21,Sicilian Defense: Smith-Morra Gambit
jchh,Schachspieler32,1-0,B32,Sicilian Defense: Open
catamarca2019,jchh,1-0,C50,Four Knights Game: Italian Variation
jchh,andrey63luka,0-1,B22,"Sicilian Defense: Alapin Variation, Barmen Defense"
jchh,Umarov_Amir,0-1,D15,Slav Defense: Three Knights Variation
Knightinthenight123,jchh,1-0,B56,Sicilian Defense: Classical Variation
MasterJYR,jchh,1-0,A30,English : Symmetrical Variation
serq48,jchh,0-1,B21,Sicilian Defense: Smith-Morra Gambit
jchh,cabri007,1-0,C02,"French Defense: Advance Variation, Milner-Barry Gambit"
cabri007,jchh,0-1,B00,"Nimzowitsch Defense: Scandinavian Variation, Advance Variation"
jchh,cabri007,1-0,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
cabri007,jchh,0-1,B22,Sicilian Defense: Alapin Variation
jchh,cabri007,1-0,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
schizo_id,jchh,0-1,A00,Van't Kruijs
jchh,Sockfish13,1-0,B13,Caro-Kann Defense: Panov Attack
jchh,valentin59,1-0,D00,Queen's Pawn Game
nasa179,jchh,0-1,A04,Zukertort : Black Mustang Defense
jchh,cabri007,1-0,C11,"French Defense: Steinitz Variation, Boleslavsky Variation"
cabri007,jchh,1/2-1/2,B01,Scandinavian Defense: Modern Variation
jchh,cabri007,1-0,A13,English : Agincourt Defense
cabri007,jchh,0-1,B72,"Sicilian Defense: Dragon Variation, Classical Variation"
jchh,cabri007,0-1,A13,"English : Agincourt Defense, Catalan Defense"
cabri007,jchh,1-0,B00,Pirc Defense
jchh,cabri007,1-0,A01,Nimzo-Larsen Attack
cabri007,jchh,0-1,A00,Van't Kruijs
jchh,cabri007,1-0,A13,English : Agincourt Defense
cabri007,jchh,0-1,B06,Modern Defense
jchh,cabri007,0-1,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
jchh,cabri007,1-0,D55,"Queen's Gambit Declined: Modern Variation, Normal Line"
cabri007,jchh,1/2-1/2,C01,French Defense: Exchange Variation
jchh,cabri007,1-0,C00,French Defense: King's Indian Attack
cabri007,jchh,0-1,C00,French Defense: La Bourdonnais Variation
jchh,cabri007,1-0,A13,English : Neo-Catalan
cabri007,jchh,1-0,C00,French Defense
cuculus48,jchh,0-1,C11,"French Defense: Classical Variation, Steinitz Variation"
jchh,r2d2killah,1-0,B01,Scandinavian Defense: Icelandic-Palme Gambit
jchh,Ganesh2209,1-0,B00,King's Pawn
