Blancas,Negras,Result,ECO,Opening
Mega-Nimzo,GHkeiven,0-1,C70,"Ruy Lopez: Morphy Defense, Caro Variation"
ricardus33,GHkeiven,1-0,D02,Queen's Gambit Accepted: Rosenthal Variation
GHkeiven,iharob,0-1,B01,Scandinavian Defense: Gubinsky-Melts Defense
GHkeiven,Linne95,0-1,C40,Elephant Gambit
Manuconnor,GHkeiven,1-0,D02,Queen's Pawn Game: Zukertort Variation
lAZARO63,GHkeiven,1-0,C70,"Ruy Lopez: Morphy Defense, Caro Variation"
elprofemat1,GHkeiven,1-0,C26,"Vienna Game: Stanley Variation, Reversed Spanish"
GHkeiven,LUISFERNANDOB,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
GHkeiven,Mega-Nimzo,1-0,C65,"Ruy Lopez: Berlin Defense, Beverwijk Variation"
GHkeiven,franblu,0-1,B90,Sicilian Defense: Najdorf Variation
jab17,GHkeiven,1-0,A40,Horwitz Defense
GHkeiven,GuerreroH2,0-1,B10,Caro-Kann Defense
GHkeiven,GMChavez,0-1,B00,Pirc Defense
GuerreroH2,GHkeiven,1-0,A40,Horwitz Defense
franblu,GHkeiven,0-1,-1,-1
GHkeiven,charlesbenitez1,1-0,C40,"King's Pawn Game: Busch-Gass Gambit, Chiodini Gambit"
GHkeiven,RicardoRojas2001,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
charlesbenitez1,GHkeiven,1-0,C00,Queen's Pawn Game: Franco-Sicilian Defense
GHkeiven,jab17,0-1,B06,Modern Defense
moisesbastidas7822,GHkeiven,1-0,C20,King's Pawn Game: Leonardis Variation
GHkeiven,franblu,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
panza1977,GHkeiven,1-0,B00,"Nimzowitsch Defense: Scandinavian Variation, Exchange Variation"
GHkeiven,RicardoRojas2001,0-1,B06,Modern Defense
panza1977,GHkeiven,0-1,C01,French Defense: Exchange Variation
supercol,GHkeiven,0-1,A00,Englund Gambit Declined: Reversed French
GHkeiven,jab17,0-1,B32,Sicilian Defense: Accelerated Dragon
GHkeiven,RicardoRojas2001,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
panza1977,GHkeiven,1-0,C44,Scotch Game: Scotch Gambit
inio,GHkeiven,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
TempoWizard,GHkeiven,1-0,A06,Zukertort : Tennison Gambit
GHkeiven,PauBarna,0-1,C62,Ruy Lopez: Steinitz Defense
GHkeiven,maddarena,1-0,B06,Modern Defense: Mongredien Defense
bombanavarroo,GHkeiven,1-0,A40,Horwitz Defense
GHkeiven,Mosfischer,0-1,C40,Elephant Gambit: Paulsen Countergambit
Eneranaral,GHkeiven,1-0,A04,Zukertort : Sicilian Invitation
GHkeiven,Gentlevil,0-1,C70,"Ruy Lopez: Morphy Defense, Caro Variation"
dobrisa,GHkeiven,0-1,D02,Queen's Pawn Game: Zukertort Variation
GHkeiven,ponyboyup,1-0,B06,Modern Defense
clubajedrezgetxo,GHkeiven,1-0,C50,Italian Game
catsco,GHkeiven,0-1,A45,Indian Defense
GHkeiven,msc_anderson,0-1,B10,Caro-Kann Defense
GHkeiven,bilgihazinesi2011,1-0,B00,Pirc Defense
GHkeiven,ed_0102,0-1,B06,Modern Defense
nokulunga,GHkeiven,1-0,B32,Sicilian Defense: Franco-Sicilian Variation
