Blancas,Negras,Result,ECO,Opening
moito33-t,Doandris15marin,1-0,B00,King's Pawn
Riosa0406,Doandris15marin,1-0,D06,Queen's Gambit Declined: Marshall Defense
Doandris15marin,colombig,1-0,B06,Modern Defense
L_Aleph,Doandris15marin,1-0,B21,Sicilian Defense: Smith-Morra Gambit
Rirr2020,Doandris15marin,1-0,B00,King's Pawn
franov,Doandris15marin,1-0,A40,Queen's Pawn Game
Doandris15marin,Rjpc,0-1,-1,-1
Doandris15marin,oyvenst,0-1,C00,French Defense: Rti-Spielmann Attack
Doandris15marin,mohamed_sharif1999,1/2-1/2,C30,King's Gambit
mohamed_sharif1999,Doandris15marin,0-1,E70,King's Indian Defense: Normal Variation
Doandris15marin,mohamed_sharif1999,1-0,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
Nothingne,Doandris15marin,1-0,A45,Indian Defense
Doandris15marin,Jere_Nava,1-0,C69,"Ruy Lopez: Exchange Variation, Normal Variation"
GBR99,Doandris15marin,1-0,B10,Caro-Kann Defense
White_Rabbit77,Doandris15marin,0-1,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
Doandris15marin,belen_gatito,1-0,C69,"Ruy Lopez: Exchange Variation, King's Bishop Variation"
fluid_dynamicist,Doandris15marin,1-0,E70,King's Indian Defense: Normal Variation
Doandris15marin,fluid_dynamicist,1-0,A80,Dutch Defense
larreal,Doandris15marin,1-0,B00,King's Pawn
chapterblack,Doandris15marin,1-0,A45,Indian Defense
usamasadd,Doandris15marin,1-0,D00,Blackmar-Diemer Gambit
Vpougatch,Doandris15marin,1-0,C00,French Defense: La Bourdonnais Variation
Ijustmistake,Doandris15marin,1-0,A04,Zukertort
Doandris15marin,MURATCHE,1-0,B10,Caro-Kann Defense
Doandris15marin,RobertLePecheur,1-0,A43,Benoni Defense: Old Benoni
Doandris15marin,domenicodmp,1-0,D30,Queen's Gambit Declined
Doandris15marin,iraj_jalali,1-0,E12,Queen's Indian Defense: Kasparov Variation
Circ,Doandris15marin,0-1,A40,Modern Defense
Guby,Doandris15marin,1-0,B21,Sicilian Defense: Smith-Morra Gambit
Ender32007,Doandris15marin,0-1,C47,Four Knights Game: Scotch Variation Accepted
Ender32007,Doandris15marin,0-1,B32,Sicilian Defense: Open
Doandris15marin,Gevorkians,1/2-1/2,C60,Ruy Lopez: Cozio Defense
Doandris15marin,Lowcor,0-1,D02,Queen's Pawn Game: Chigorin Variation
Doandris15marin,GermanLoren,0-1,A43,Benoni Defense: Old Benoni
exclamaforte,Doandris15marin,1-0,B15,Caro-Kann Defense
austro,Doandris15marin,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
jenyav,Doandris15marin,1-0,B01,Scandinavian Defense: Main Line
Doandris15marin,AfVika09,1/2-1/2,D30,Queen's Gambit Declined
Doandris15marin,murtazahamid515253,0-1,D02,Queen's Pawn Game: Zukertort Variation
Raghava3007,Doandris15marin,1-0,B22,Sicilian Defense: Alapin Variation
Doandris15marin,maks985,0-1,B30,Sicilian Defense: Old Sicilian
FilidorsSoul,Doandris15marin,0-1,D00,Queen's Pawn Game
Doandris15marin,Payogur10,0-1,A00,Van't Kruijs
gspen,Doandris15marin,0-1,C54,"Italian Game: Classical Variation, Greco Gambit, Traditional Line"
Doandris15marin,mike10101,1-0,C02,"French Defense: Advance Variation, Paulsen Attack"
