Blancas,Negras,Result,ECO,Opening
samuel22bastidas,sicilyaa,1-0,D02,Queen's Pawn Game: Zukertort Variation
Romio30,samuel22bastidas,1-0,B21,Sicilian Defense: Smith-Morra Gambit
ishaanarora,samuel22bastidas,0-1,B32,Sicilian Defense: Lwenthal Variation
samuel22bastidas,retirado,0-1,A45,Indian Defense
samuel22bastidas,sightwatch,0-1,A43,Benoni Defense: Old Benoni
jz0823,samuel22bastidas,1-0,B44,Sicilian Defense: Taimanov Variation
linakbr,samuel22bastidas,0-1,B20,Sicilian Defense: Bowdler Attack
samuel22bastidas,Fantastika,0-1,A40,Queen's Pawn Game
Miguelengel,samuel22bastidas,0-1,B20,Sicilian Defense
samuel22bastidas,hentamsajalabu,1-0,A48,East Indian Defense
LordCostas,samuel22bastidas,0-1,B30,Sicilian Defense: Old Sicilian
samuel22bastidas,Setareh_2005,1-0,D05,Queen's Pawn Game: Colle System
samuel22bastidas,oscarhernadez,0-1,A46,Indian Defense: Knights Variation
oscarhernadez,samuel22bastidas,1-0,A04,Zukertort : Sicilian Invitation
samuel22bastidas,oscarhernadez,0-1,A46,Indian Defense: Wade-Tartakower Defense
oscarhernadez,samuel22bastidas,1/2-1/2,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
samuel22bastidas,oscarhernadez,1-0,A46,Yusupov-Rubinstein System
oscarhernadez,samuel22bastidas,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
samuel22bastidas,movingrightalong,1-0,A40,Horwitz Defense
mgciro,samuel22bastidas,1-0,B30,Sicilian Defense: Old Sicilian
samuel22bastidas,mazuk29,1-0,D02,Queen's Pawn Game: Chigorin Variation
mr_adams_jh,samuel22bastidas,1-0,D36,"Queen's Gambit Declined: Exchange Variation, Reshevsky Variation"
samuel22bastidas,lyidor,1-0,A46,Yusupov-Rubinstein System
samuel22bastidas,mrdoko,1-0,A40,Queen's Pawn Game
josealfredodesages,samuel22bastidas,1-0,A00,Van't Kruijs
LosChicos,samuel22bastidas,0-1,A04,Zukertort : Sicilian Invitation
samuel22bastidas,elchacal83,0-1,A40,Queen's Pawn Game
Dormiloncill,samuel22bastidas,0-1,B20,Sicilian Defense: Bowdler Attack
samuel22bastidas,Vazir161,1-0,A48,East Indian Defense
Jamirho,samuel22bastidas,1-0,B20,Sicilian Defense: Mengarini Variation
samuel22bastidas,PabloMinda,0-1,D05,"Queen's Pawn Game: Colle System, Traditional Colle"
samuel22bastidas,Kenny1904,1-0,A00,"Indian Defense: Colle System, King's Indian Variation"
samuel22bastidas,Alan_Abreu,0-1,D04,"Queen's Pawn Game: Colle System, Grnfeld Formation"
ReifersonX-X,samuel22bastidas,1-0,A41,Queen's Pawn Game
F12valentina,samuel22bastidas,1-0,B29,"Sicilian Defense: Nimzowitsch Variation, Closed Variation"
samuel22bastidas,ReifersonX-X,1/2-1/2,A43,Benoni Defense: Old Benoni
mherize,samuel22bastidas,1-0,B40,Sicilian Defense: Pin Variation
samuel22bastidas,carlbc84,1-0,A80,Dutch Defense
samuel22bastidas,ReifersonX-X,1-0,B02,Alekhine Defense: Marczy Variation
mherize,samuel22bastidas,0-1,B40,Sicilian Defense: Pin Variation
samuel22bastidas,Gova479,1-0,A00,"Indian Defense: Colle System, King's Indian Variation"
samuel22bastidas,ReifersonX-X,1-0,D02,Queen's Pawn Game: Zukertort Variation
Williams_Abreu78,samuel22bastidas,0-1,A13,"English : Agincourt Defense, Wimpy System"
samuel22bastidas,oscarhernadez,0-1,A46,Yusupov-Rubinstein System
ReifersonX-X,samuel22bastidas,0-1,D00,Queen's Pawn Game: Mason Variation
cjop1,samuel22bastidas,0-1,B32,Sicilian Defense: Lwenthal Variation
Drilon2456,samuel22bastidas,1-0,A30,English : Symmetrical Variation
samuel22bastidas,chisboy,0-1,A48,East Indian Defense
otebobo,samuel22bastidas,1-0,A17,"English : Anglo-Indian Defense, Hedgehog System"
senseiAlex15,samuel22bastidas,0-1,D02,Queen's Gambit Accepted: Rosenthal Variation
samuel22bastidas,jeffren10,0-1,B02,Alekhine Defense: Marczy Variation
moisesbastidas7822,samuel22bastidas,0-1,A04,Zukertort : Sicilian Invitation
mherize,samuel22bastidas,1-0,A04,Zukertort : Sicilian Invitation
samuel22bastidas,jeffren10,1-0,A46,Yusupov-Rubinstein System
ReifersonX-X,samuel22bastidas,0-1,D00,Queen's Pawn Game: Mason Variation
samuel22bastidas,moisesbastidas7822,1-0,D02,Queen's Pawn Game: Zukertort Variation
jeffren10,samuel22bastidas,1-0,B30,Sicilian Defense: Old Sicilian
samuel22bastidas,ReifersonX-X,1-0,D02,Queen's Pawn Game: Zukertort Variation
moisesbastidas7822,samuel22bastidas,0-1,A04,Zukertort : Sicilian Invitation
jeffren10,samuel22bastidas,0-1,B40,"Sicilian Defense: French Variation, Normal"
samuel22bastidas,mherize,0-1,A00,"Indian Defense: Colle System, King's Indian Variation"
moisesbastidas7822,samuel22bastidas,0-1,A04,Zukertort : Sicilian Invitation
samuel22bastidas,jeffren10,1-0,A46,Yusupov-Rubinstein System
samuel22bastidas,mherize,1-0,D02,Queen's Pawn Game: Zukertort Variation
moisesbastidas7822,samuel22bastidas,1-0,A04,Zukertort : Sicilian Invitation
samuel22bastidas,ReifersonX-X,1-0,D00,Queen's Pawn Game
mherize,samuel22bastidas,1-0,A00,Hungarian
samuel22bastidas,moisesbastidas7822,1-0,D00,Queen's Pawn Game
samuel22bastidas,mherize,1-0,A48,East Indian Defense
jeffren10,samuel22bastidas,0-1,B30,Sicilian Defense: Old Sicilian
samuel22bastidas,moisesbastidas7822,1-0,A40,Queen's Pawn Game
samuel22bastidas,jacksilany,1-0,D05,Queen's Pawn Game: Colle System
gilaryaraujo12,samuel22bastidas,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
samuel22bastidas,mherize,1-0,D04,"Queen's Pawn Game: Colle System, Grnfeld Formation"
samuel22bastidas,gilaryaraujo12,0-1,D04,"Queen's Pawn Game: Colle System, Anti-Colle"
guadajg,samuel22bastidas,0-1,-1,-1
samuel22bastidas,gilaryaraujo12,1-0,D04,"Queen's Pawn Game: Colle System, Anti-Colle"
guadajg,samuel22bastidas,0-1,B20,Sicilian Defense
samuel22bastidas,mherize,0-1,A00,"Indian Defense: Colle System, King's Indian Variation"
jeffren10,samuel22bastidas,0-1,B30,Sicilian Defense: Old Sicilian
samuel22bastidas,gilaryaraujo12,1-0,D04,"Queen's Pawn Game: Colle System, Anti-Colle"
carlbc84,samuel22bastidas,1-0,B30,Sicilian Defense: Old Sicilian
guadajg,samuel22bastidas,0-1,B40,Sicilian Defense: French Variation
moisesbastidas7822,samuel22bastidas,0-1,A04,Zukertort : Sicilian Invitation
samuel22bastidas,ragrava,1-0,A40,Queen's Pawn Game
mherize,samuel22bastidas,1-0,B23,"Sicilian Defense: Closed, Traditional"
samuel22bastidas,moisesbastidas7822,1-0,D00,Queen's Pawn Game
guadajg,samuel22bastidas,1-0,B20,Sicilian Defense: Lasker-Dunne Attack
samuel22bastidas,mherize,1-0,A00,"Indian Defense: Colle System, King's Indian Variation"
samuel22bastidas,jacksilany,1-0,D05,Rubinstein
mherize,samuel22bastidas,0-1,A04,Zukertort : Sicilian Invitation
guadajg,samuel22bastidas,0-1,B20,Sicilian Defense
samuel22bastidas,moisesbastidas7822,1-0,D02,Queen's Pawn Game: Zukertort Variation
samuel22bastidas,moudir2020,1/2-1/2,D02,Queen's Pawn Game: Chigorin Variation
samuel22bastidas,bhavnagar,1-0,A40,Queen's Pawn Game
samuel22bastidas,Elneneasesino,0-1,D00,Queen's Pawn Game
ragrava,samuel22bastidas,1-0,B22,Sicilian Defense: Alapin Variation
samuel22bastidas,douglasabreu,1-0,A40,Queen's Pawn Game
gilaryaraujo12,samuel22bastidas,0-1,B32,Sicilian Defense: Lwenthal Variation
samuel22bastidas,carlbc84,1-0,A80,Dutch Defense
ReifersonX-X,samuel22bastidas,1-0,D00,Queen's Pawn Game: Mason Variation
Gova479,samuel22bastidas,0-1,D02,Queen's Gambit Accepted: Rosenthal Variation
oscarhernadez,samuel22bastidas,0-1,D02,Queen's Pawn Game: Zukertort Variation
samuel22bastidas,Elneneasesino,0-1,D02,Queen's Pawn Game: Chigorin Variation
vladsuar,samuel22bastidas,0-1,D00,Queen's Pawn Game: Mason Variation
samuel22bastidas,carlbc84,1-0,A80,Dutch Defense
Morning123,samuel22bastidas,1/2-1/2,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation"
Procarionte,samuel22bastidas,0-1,A00,Hungarian
samuel22bastidas,akbar_king,1-0,D02,Queen's Pawn Game: Chigorin Variation
samuel22bastidas,ben_ibeni,1/2-1/2,A40,English Defense
JBengoa,samuel22bastidas,0-1,D31,Queen's Gambit Declined: Queen's Knight Variation
samuel22bastidas,branovav7,0-1,A40,Modern Defense
samuel22bastidas,Dagerman,0-1,A08,King's Indian Attack: Sicilian Variation
mule51,samuel22bastidas,1/2-1/2,B21,Sicilian Defense: Smith-Morra Gambit
samuel22bastidas,jab17,0-1,A46,Yusupov-Rubinstein System
Elneneasesino,samuel22bastidas,0-1,D31,Semi-Slav Defense: Noteboom Variation
samuel22bastidas,Gova479,1-0,A00,"Indian Defense: Colle System, King's Indian Variation"
samuel22bastidas,Romg12,1-0,A00,"Indian Defense: Colle System, King's Indian Variation"
douglasabreu,samuel22bastidas,1-0,B20,Sicilian Defense: Lasker-Dunne Attack
samuel22bastidas,DanielBarreto,0-1,D05,Queen's Pawn Game: Colle System
cabri007,samuel22bastidas,0-1,B21,Sicilian Defense: Smith-Morra Gambit
samuel22bastidas,Jose_Barreto,0-1,A46,Yusupov-Rubinstein System
samuel22bastidas,jeffren10,0-1,A46,Yusupov-Rubinstein System
Jose_Barreto,samuel22bastidas,1-0,D31,Semi-Slav Defense: Marshall Gambit
samuel22bastidas,Gova479,1-0,A41,Queen's Pawn Game
Jose_Barreto,samuel22bastidas,1/2-1/2,D21,Queen's Gambit Accepted: Normal Variation
samuel22bastidas,carlbc84,1-0,A80,Dutch Defense
Jose_Barreto,samuel22bastidas,1-0,D11,Slav Defense: Modern Line
jeffren10,samuel22bastidas,1-0,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation"
samuel22bastidas,jair334,0-1,A41,Queen's Pawn Game
LumaBashkim,samuel22bastidas,1/2-1/2,A00,Hungarian : Slav Formation
samuel22bastidas,maalek2020,0-1,D02,Queen's Pawn Game: Zukertort Variation
MasterGrandmaster,samuel22bastidas,1-0,B32,Sicilian Defense: Lwenthal Variation
samuel22bastidas,Ketanchopra,0-1,A40,Horwitz Defense
TONYKENT,samuel22bastidas,1/2-1/2,B20,Sicilian Defense
samuel22bastidas,shchyolokovvalery,0-1,D05,Queen's Pawn Game: Colle System
Jose_Barreto,samuel22bastidas,1-0,D31,Semi-Slav Defense: Marshall Gambit
samuel22bastidas,jeffren10,0-1,A46,Yusupov-Rubinstein System
samuel22bastidas,Lego77,1-0,B10,Caro-Kann Defense
jeffren10,samuel22bastidas,1/2-1/2,B32,Sicilian Defense: Lwenthal Variation
oscarhernadez,samuel22bastidas,0-1,D02,Queen's Pawn Game: Zukertort Variation
samuel22bastidas,Jose_Barreto,1-0,B54,Sicilian Defense: Prins Variation
mnmassari,samuel22bastidas,0-1,D05,Queen's Pawn Game: Colle System
samuel22bastidas,guadajg,1-0,D05,Queen's Pawn Game: Colle System
Jose_Barreto,samuel22bastidas,1-0,D31,Semi-Slav Defense: Marshall Gambit
oscarhernadez,samuel22bastidas,0-1,A04,Zukertort : Sicilian Invitation
samuel22bastidas,cabri007,1-0,A46,Yusupov-Rubinstein System
samuel22bastidas,Lego77,0-1,A40,Queen's Pawn Game
samuel22bastidas,moisesbastidas7822,1-0,D02,Queen's Pawn Game: Zukertort Variation
Lego77,samuel22bastidas,1-0,D00,Queen's Pawn Game
moisesbastidas7822,samuel22bastidas,0-1,A04,Zukertort : Sicilian Invitation
samuel22bastidas,Jose_Barreto,0-1,A45,Indian Defense
cjop1,samuel22bastidas,1-0,B43,"Sicilian Defense: Kan Variation, Knight Variation"
samuel22bastidas,Alan_Abreu,1/2-1/2,A48,East Indian Defense
mherize,samuel22bastidas,0-1,A04,Zukertort : Sicilian Invitation
samuel22bastidas,mnmassari,1-0,D05,Queen's Pawn Game: Colle System
Elneneasesino,samuel22bastidas,1-0,A41,Queen's Pawn Game
jeffren10,samuel22bastidas,1-0,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
samuel22bastidas,Alan_Abreu,0-1,D04,"Queen's Pawn Game: Colle System, Grnfeld Formation"
samuel22bastidas,midknyght,1-0,D05,"Queen's Pawn Game: Colle System, Traditional Colle"
Moron2Master,samuel22bastidas,0-1,B23,Sicilian Defense: Closed
Habedere,samuel22bastidas,1-0,B22,"Sicilian Defense: Alapin Variation, Barmen Defense"
jeziel_elite,samuel22bastidas,1/2-1/2,D00,Queen's Pawn Game: Mason Variation
samuel22bastidas,jparada,1-0,D05,"Queen's Pawn Game: Colle System, Traditional Colle"
avanti,samuel22bastidas,1-0,A26,"English : King's English Variation, Botvinnik System"
samuel22bastidas,Undivided,0-1,A40,Horwitz Defense
samuel22bastidas,alpacinox,0-1,D02,Queen's Pawn Game: Krause Variation
samuel22bastidas,Taki575,0-1,D04,"Queen's Pawn Game: Colle System, Grnfeld Formation"
samuel22bastidas,TheGroetzi,0-1,D02,Queen's Pawn Game: Zukertort Variation
YuryKuznetsov,samuel22bastidas,1-0,B20,Sicilian Defense: Mengarini Variation
RACER844,samuel22bastidas,1-0,D31,Semi-Slav Defense: Noteboom Variation
samuel22bastidas,asm191,0-1,A43,Benoni Defense: Old Benoni
rapfellah,samuel22bastidas,1/2-1/2,A04,Zukertort : Sicilian Invitation
PerfectLiberty,samuel22bastidas,0-1,D31,Semi-Slav Defense: Accelerated Move Order
ankken,samuel22bastidas,0-1,D43,Semi-Slav Defense
samuel22bastidas,ButanePropaneMix,0-1,A43,Benoni Defense: Old Benoni
samuel22bastidas,BIpIN960,0-1,D05,Queen's Pawn Game: Colle System
MarysolRamirez,samuel22bastidas,1-0,D00,Queen's Pawn Game
samuel22bastidas,thijscom,0-1,A40,Queen's Pawn Game
ppnexo,samuel22bastidas,0-1,B32,Sicilian Defense: Lwenthal Variation
samuel22bastidas,Benitanimiyorsunuz,1-0,A00,Englund Gambit Declined: Reversed French
samuel22bastidas,Bulle1,1-0,A45,Indian Defense
sztachalom,samuel22bastidas,1-0,B20,Sicilian Defense: Mengarini Variation
samuel22bastidas,benjamincid,0-1,A46,Indian Defense: Spielmann-Indian
EddieFC,samuel22bastidas,0-1,B22,Sicilian Defense: Alapin Variation
samuel22bastidas,ElColeccionista,1-0,A40,Queen's Pawn Game
Elmongd,samuel22bastidas,0-1,B45,"Sicilian Defense: Taimanov Variation, Normal Variation"
ChessMeraki,samuel22bastidas,1-0,D37,Queen's Gambit Declined: Three Knights Variation
daNorwegian,samuel22bastidas,1-0,A00,Van Geet
samuel22bastidas,TobsenToby,1-0,A46,Yusupov-Rubinstein System
Master-Chief2003,samuel22bastidas,1-0,B80,Sicilian Defense: Scheveningen Variation
samuel22bastidas,lemfan,1-0,D00,Queen's Pawn Game
usatevich,samuel22bastidas,1-0,A08,King's Indian Attack: Sicilian Variation
samuel22bastidas,Kijote,1-0,A45,Indian Defense
samuel22bastidas,Leonidas44,1-0,A45,Indian Defense
wildreshi,samuel22bastidas,1-0,A02,Bird
samuel22bastidas,El_Brave_Pawn,1-0,A46,Yusupov-Rubinstein System
Ramananda,samuel22bastidas,0-1,B22,Sicilian Defense: Alapin Variation
samuel22bastidas,gmbmw,0-1,D04,"Queen's Pawn Game: Colle System, Grnfeld Formation"
reminor,samuel22bastidas,1-0,B33,"Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation"
samuel22bastidas,ThingsHappen,1-0,A41,Queen's Pawn Game
Nhacula,samuel22bastidas,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Scandinavian Formation"
samuel22bastidas,dutchy2000,1-0,A40,Mikenas Defense
ThingsHappen,samuel22bastidas,1-0,D35,Queen's Gambit Declined: Normal Defense
samuel22bastidas,koziavka,1-0,D00,Queen's Pawn Game
hangmysack,samuel22bastidas,0-1,D43,Semi-Slav Defense
samuel22bastidas,owos2g,1/2-1/2,A40,Horwitz Defense
samuel22bastidas,Alexpro15,1-0,D05,Queen's Pawn Game: Colle System
Manchester_Black,samuel22bastidas,0-1,D30,Queen's Gambit Declined
mG46,samuel22bastidas,0-1,D02,Queen's Gambit Accepted: Rosenthal Variation
samuel22bastidas,MarkovlibroD,1-0,D05,"Queen's Pawn Game: Colle System, Traditional Colle"
owos2g,samuel22bastidas,0-1,B32,Sicilian Defense: Lwenthal Variation
samuel22bastidas,N_13,1-0,A45,Indian Defense
jordan353,samuel22bastidas,1-0,A04,Zukertort : Sicilian Invitation
samuel22bastidas,Melesmelee,1-0,D05,"Queen's Pawn Game: Colle System, Traditional Colle"
Vladislavvv,samuel22bastidas,0-1,B32,Sicilian Defense: Open
samuel22bastidas,ArmMorphy41,0-1,A43,Benoni Defense: Old Benoni
nemovetsky,samuel22bastidas,0-1,A00,Gedult's
samuel22bastidas,obaka,1-0,A40,English Defense
mk2802,samuel22bastidas,0-1,B20,Sicilian Defense: Bowdler Attack
samuel22bastidas,Giorgianni,1-0,D00,Queen's Pawn Game
langschlaefer,samuel22bastidas,1-0,A03,Bird : Dutch Variation
samuel22bastidas,konlev,0-1,D05,Queen's Pawn Game: Colle System
samuel22bastidas,maksmaksmaksmaks,0-1,D05,"Queen's Pawn Game: Colle System, Traditional Colle"
samuel22bastidas,speedymouse,1-0,A00,Englund Gambit Declined: Reversed French
Historiansrule,samuel22bastidas,0-1,D02,Queen's Pawn Game: London System
samuel22bastidas,Erikchessle,0-1,C00,French Defense: King's Indian Attack
efyd,samuel22bastidas,1-0,A00,Grob
samuel22bastidas,Tha_jesus,1-0,A00,Mieses
jvcb,samuel22bastidas,1/2-1/2,A00,Van't Kruijs
samuel22bastidas,chessclash-rk,1/2-1/2,A04,Zukertort : Speelsmet Gambit
AmpayaNiel,samuel22bastidas,0-1,A06,Zukertort : Old Indian Attack
Erikchessle,samuel22bastidas,1-0,A00,Mieses
Abekete,samuel22bastidas,1-0,A46,"Queen's Pawn Game: Veresov Attack, Classical Defense"
samuel22bastidas,Shilichkov,0-1,A40,Queen's Pawn Game
ralfi1,samuel22bastidas,1-0,B32,Sicilian Defense: Lwenthal Variation
Rodion0470,samuel22bastidas,0-1,D02,Queen's Pawn Game: Zukertort Variation
samuel22bastidas,TheCoPilot,1-0,A43,Benoni Defense: Old Benoni
samuel22bastidas,Kkrocks1,1-0,A41,Queen's Pawn Game
chinanudeln,samuel22bastidas,0-1,B23,Sicilian Defense: Grand Prix Attack
Shilichkov,samuel22bastidas,1-0,A00,Ware
samuel22bastidas,lchuza_forever,1-0,D00,Queen's Pawn Game
